DATA;ID CONTRATO;CONTRATO;ID OPERADORA;OPERADORA;COD EQUIPAMENTO;EQUIPAMENTO;FROTA;QTD;%
46113;COT1;Transfacil;OP37;Viação Globo Ltda;EQ6;CCIT 4.0 FRONTAL H2.1;106;6;6%
46113;COT1;Transfacil;OP1;Auto Omnibus Floramar Ltda;EQ6;CCIT 4.0 FRONTAL H2.1;108;16;15%
46113;COT1;Transfacil;OP26;Trans oeste Transportes Urbanos Ltda;EQ6;CCIT 4.0 FRONTAL H2.1;111;4;4%
46113;COT1;Transfacil;OP44;BH Leste Transportes;EQ6;CCIT 4.0 FRONTAL H2.1;116;12;10%
46113;COT1;Transfacil;OP5;Betânia Ônibus Ltda;EQ6;CCIT 4.0 FRONTAL H2.1;122;15;12%
46113;COT1;Transfacil;OP30;Urca Auto Ônibus Ltda;EQ6;CCIT 4.0 FRONTAL H2.1;128;9;7%
46113;COT1;Transfacil;OP2;Auto Omnibus Nova Suissa Ltda;EQ6;CCIT 4.0 FRONTAL H2.1;128;16;13%
46113;COT1;Transfacil;OP16;Jardins / Ana Lucia;EQ6;CCIT 4.0 FRONTAL H2.1;131;23;18%
46113;COT1;Transfacil;OP18;Rodopass Transp. Colet. De Passag. Ltda;EQ6;CCIT 4.0 FRONTAL H2.1;153;19;12%
46113;COT1;Transfacil;OP33;Viação Anchieta Ltda;EQ6;CCIT 4.0 FRONTAL H2.1;155;31;20%
46113;COT1;Transfacil;OP19;S&M Goiânia Transportes Ltda;EQ6;CCIT 4.0 FRONTAL H2.1;240;33;14%
46113;COT1;Transfacil;OP13;Estações BRT Move;EQ6;CCIT 4.0 FRONTAL H2.1;249;34;14%
46113;COT35;TURIN CONGONHAS;OP138;VIAÇÃO TURIN CONGONHAS;EQ5;CCIT 4.0 FRONTAL;25;2;8%
46113;COT14;TURIN OURO PRETO MG;OP52;VIAÇÃO TURIN OURO PRETO MG;EQ5;CCIT 4.0 FRONTAL;51;4;8%
46113;COT23;UTB;OP83;UTB;EQ6;CCIT 4.0 FRONTAL H2.1 COM BATERIA;331;31;9%
46113;COT40;VALE DO MUCURY;OP147;VALE DO MUCURY;EQ5;CCIT 4.0 FRONTAL;34;3;9%
46113;COT16;VIA OURO;OP49;VIA OURO COLETIVOS LTDA;EQ7;CCIT 4.0 FRONTAL JI21;75;1;1%
46113;COT3;TEU;OP104;TRENSURB;EQ43;CCIT 5.0 ;51;1;2%
46113;COT3;TEU;OP86;CMT ;EQ43;CCIT 5.0 ;52;1;2%
46113;COT3;TEU;OP98;TRANSBUS;EQ43;CCIT 5.0 ;59;2;3%
46113;COT3;TEU;OP101;VIAMÃO / VIA LESTE;EQ43;CCIT 5.0 ;262;3;1%
46113;COT3;TEU;OP96;SOGIL;EQ43;CCIT 5.0 ;237;6;3%
46113;COT3;TEU;OP97;SOUL;EQ43;CCIT 5.0 ;255;11;4%
46113;COT3;TEU;OP88;HAMBURGUESA;EQ43;CCIT 5.0 ;0;0;0%
46113;COT3;TEU;OP93;REAL;EQ43;CCIT 5.0 ;0;0;0%
46113;COT3;TEU;OP103;TREVOSUL;EQ43;CCIT 5.0 ;0;0;0%
46113;COT3;TEU;OP100;VAL;EQ43;CCIT 5.0 ;0;0;0%
46113;COT3;TEU;OP87;CONSÓRCIO;EQ43;CCIT 5.0 ;3;0;0%
46113;COT3;TEU;OP90;ITAPUÃ;EQ43;CCIT 5.0 ;7;0;0%
46113;COT3;TEU;OP87;CATSUL;EQ43;CCIT 5.0 ;9;0;0%
46113;COT8;METRO-BH;OP47;METRO-BH;EQ43;CCIT 5.0 ;78;0;0%
46113;COT3;TEU;OP91;NOVA SANTA RITA/CHARQUEADAS;EQ43;CCIT 5.0 ;10;0;0%
46113;COT3;TEU;OP152;TRANSBUS SAPUCAIA;EQ43;CCIT 5.0 ;33;0;0%
46113;COT3;TEU;OP84;CENTRAL ;EQ43;CCIT 5.0 ;40;0;0%
46113;COT3;TEU;OP89;GUAIBA ;EQ43;CCIT 5.0 ;114;0;0%
