DATA;ID CONTRATO;CONTRATO;ID OPERADORA;OPERADORA;COD EQUIPAMENTO;EQUIPAMENTO;FROTA;QTD;%
44501;COT24;GVBUS;OP108;GVBUS - SIND. DAS EMP. DE TRANP. METROP. DA GRANDE VITÓRIA;EQ28;ATM;30;35;117%
44501;COT2;Transcard;OP61;Setps (Transcard);EQ28;ATM;32;5;16%
44501;COT6;Metro-Bahia;OP63;METRÔ BAHIA (CCR);EQ28;ATM;49;17;35%
44531;COT1;Transfacil;OP27;Transfácil;EQ28;ATM;70;37;53%
44531;COT2;Transcard;OP61;Setps (Transcard);EQ28;ATM;32;18;56%
44531;COT6;Metro-Bahia;OP63;METRÔ BAHIA (CCR);EQ28;ATM;49;41;84%
44531;COT24;GVBUS;OP108;GVBUS - SIND. DAS EMP. DE TRANP. METROP. DA GRANDE VITÓRIA;EQ28;ATM;30;35;117%
44562;COT1;Transfacil;OP27;Transfácil;EQ28;ATM;70;43;61%
44562;COT24;GVBUS;OP108;GVBUS - SIND. DAS EMP. DE TRANP. METROP. DA GRANDE VITÓRIA;EQ28;ATM;30;12;40%
44562;COT2;Transcard;OP61;Setps (Transcard);EQ28;ATM;32;12;38%
44562;COT6;Metro-Bahia;OP63;METRÔ BAHIA (CCR);EQ28;ATM;49;17;35%
44593;COT1;Transfacil;OP27;Transfácil;EQ28;ATM;70;42;60%
44593;COT2;Transcard;OP61;Setps (Transcard);EQ28;ATM;32;13;41%
44593;COT6;Metro-Bahia;OP63;METRÔ BAHIA (CCR);EQ28;ATM;49;14;29%
44593;COT24;GVBUS;OP108;GVBUS - SIND. DAS EMP. DE TRANP. METROP. DA GRANDE VITÓRIA;EQ28;ATM;30;20;67%
44621;COT1;Transfacil;OP27;Transfácil;EQ28;ATM;70;36;51%
44621;COT2;Transcard;OP61;Setps (Transcard);EQ28;ATM;32;19;59%
44621;COT6;Metro-Bahia;OP63;METRÔ BAHIA (CCR);EQ28;ATM;49;13;27%
44621;COT24;GVBUS;OP108;GVBUS - SIND. DAS EMP. DE TRANP. METROP. DA GRANDE VITÓRIA;EQ28;ATM;30;14;47%
44652;COT1;Transfacil;OP27;Transfácil;EQ28;ATM;70;33;47%
44652;COT24;GVBUS;OP108;GVBUS - SIND. DAS EMP. DE TRANP. METROP. DA GRANDE VITÓRIA;EQ28;ATM;30;5;17%
44652;COT2;Transcard;OP61;Setps (Transcard);EQ28;ATM;32;15;47%
44652;COT6;Metro-Bahia;OP63;METRÔ BAHIA (CCR);EQ28;ATM;49;22;45%
44682;COT1;Transfacil;OP27;Transfácil;EQ28;ATM;70;48;69%
